Ticket_ID,Priority_Level,Assigned_Severity,LLM_Severity,Resolution_Severity,Cluster_Severity,Fused_Severity,Inferred_Severity,Mismatch_Label
TKT-100036,High,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100037,Low,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100038,Low,2,0.52,0.85,0.5,0.615,3,0
TKT-100039,Critical,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100040,High,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100041,Medium,2,0.52,0.7,0.35000000000000003,0.54,2,0
TKT-100042,Medium,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100043,Medium,2,0.73,0.95,0.6499999999999999,0.7799999999999999,4,1
TKT-100044,Low,2,0.2,0.7,0.6499999999999999,0.43999999999999995,2,0
TKT-100045,Critical,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100046,Medium,2,0.54,0.95,0.5,0.6549999999999999,3,0
TKT-100047,Medium,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100048,Medium,2,0.76,0.7,0.8,0.75,4,1
TKT-100049,Medium,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100050,High,2,0.54,0.7,0.5,0.58,3,0
TKT-100051,Low,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100052,Low,2,0.52,0.95,0.35000000000000003,0.615,3,0
TKT-100053,High,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100054,Medium,2,0.52,0.25,0.8,0.49500000000000005,2,0
TKT-100055,Low,2,0.2,0.25,0.8,0.335,2,0
TKT-100056,Critical,2,0.73,0.5,0.5,0.615,3,0
TKT-100057,High,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100058,Medium,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100059,Medium,2,0.73,0.5,0.5,0.615,3,0
TKT-100060,Medium,2,0.73,0.95,0.5,0.7499999999999999,3,0
TKT-100061,Critical,2,0.92,0.5,0.5,0.71,3,0
TKT-100062,High,2,0.73,0.25,0.5,0.54,2,0
TKT-100063,Low,2,0.2,0.85,0.2,0.395,2,0
TKT-100064,Low,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100065,High,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100066,Medium,2,0.2,0.95,0.35000000000000003,0.455,2,0
TKT-100067,Low,2,0.73,0.5,0.6499999999999999,0.645,3,0
TKT-100068,Low,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100069,Low,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100070,Medium,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100071,Medium,2,0.73,0.95,0.2,0.69,3,0
TKT-100072,Low,2,0.52,0.95,0.35000000000000003,0.615,3,0
TKT-100073,High,2,0.73,0.5,0.6499999999999999,0.645,3,0
TKT-100074,Critical,2,0.2,0.5,0.5,0.35,2,0
TKT-100075,High,2,0.52,0.85,0.6499999999999999,0.645,3,0
TKT-100076,High,2,0.52,0.5,0.2,0.45000000000000007,2,0
TKT-100077,High,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100078,High,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100079,Low,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100080,Medium,2,0.52,0.25,0.8,0.49500000000000005,2,0
TKT-100081,Critical,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100082,Low,2,0.73,0.95,0.5,0.7499999999999999,3,0
TKT-100083,High,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100084,Medium,2,0.2,0.7,0.2,0.35,2,0
TKT-100085,Low,2,0.2,0.85,0.2,0.395,2,0
TKT-100086,Low,2,0.52,0.85,0.8,0.675,3,0
TKT-100087,Medium,2,0.54,0.7,0.6499999999999999,0.61,3,0
TKT-100088,Medium,2,0.54,0.25,0.8,0.5050000000000001,2,0
TKT-100089,Medium,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100090,Low,2,0.2,0.85,0.35000000000000003,0.425,2,0
TKT-100091,Medium,2,0.73,0.7,0.8,0.735,3,0
TKT-100092,Medium,2,0.52,0.7,0.35000000000000003,0.54,2,0
TKT-100093,Low,2,0.2,0.7,0.2,0.35,2,0
TKT-100094,Low,2,0.52,0.7,0.8,0.63,3,0
TKT-100095,Low,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100096,Critical,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100097,Medium,2,0.52,0.7,0.8,0.63,3,0
TKT-100098,Low,2,0.54,0.7,0.35000000000000003,0.55,3,0
TKT-100099,Low,2,0.2,0.85,0.6499999999999999,0.485,2,0
TKT-100100,High,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100101,High,2,0.73,0.5,0.8,0.675,3,0
TKT-100102,Low,2,0.73,0.25,0.6499999999999999,0.57,3,0
TKT-100103,High,2,0.2,0.7,0.35000000000000003,0.38,2,0
TKT-100104,Medium,2,0.73,0.5,0.8,0.675,3,0
TKT-100105,Low,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100106,Critical,2,0.2,0.25,0.5,0.275,1,0
TKT-100107,Medium,2,0.2,0.7,0.6499999999999999,0.43999999999999995,2,0
TKT-100108,Medium,2,0.73,0.5,0.35000000000000003,0.585,3,0
TKT-100109,Medium,2,0.52,0.5,0.5,0.51,2,0
TKT-100110,High,2,0.2,0.7,0.35000000000000003,0.38,2,0
TKT-100111,Low,2,0.2,0.85,0.5,0.45499999999999996,2,0
TKT-100112,Medium,2,0.2,0.25,0.5,0.275,1,0
TKT-100113,Medium,2,0.2,0.5,0.5,0.35,2,0
TKT-100114,Medium,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100115,Medium,2,0.54,0.95,0.2,0.595,3,0
TKT-100116,High,2,0.2,0.7,0.6499999999999999,0.43999999999999995,2,0
TKT-100117,Medium,2,0.2,0.7,0.2,0.35,2,0
TKT-100118,Medium,2,0.73,0.25,0.6499999999999999,0.57,3,0
TKT-100119,Low,2,0.52,0.7,0.5,0.57,3,0
TKT-100120,Medium,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100121,Medium,2,0.52,0.85,0.2,0.555,3,0
TKT-100122,High,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100123,Low,2,0.73,0.25,0.2,0.48,2,0
TKT-100124,High,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100125,Medium,2,0.2,0.25,0.8,0.335,2,0
TKT-100126,High,2,0.2,0.85,0.2,0.395,2,0
TKT-100127,Medium,2,0.2,0.7,0.35000000000000003,0.38,2,0
TKT-100128,Medium,2,0.2,0.85,0.6499999999999999,0.485,2,0
TKT-100129,Medium,2,0.73,0.85,0.2,0.66,3,0
TKT-100130,Low,2,0.2,0.7,0.5,0.41000000000000003,2,0
TKT-100131,Medium,2,0.2,0.7,0.2,0.35,2,0
TKT-100132,High,2,0.73,0.5,0.35000000000000003,0.585,3,0
TKT-100133,Critical,2,0.73,0.25,0.6499999999999999,0.57,3,0
TKT-100134,Medium,2,0.73,0.85,0.8,0.78,4,1
TKT-100135,High,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100136,Critical,2,0.2,0.25,0.2,0.215,1,0
TKT-100137,Medium,2,0.73,0.85,0.5,0.72,3,0
TKT-100138,Low,2,0.52,0.7,0.2,0.51,2,0
TKT-100139,High,2,0.52,0.7,0.2,0.51,2,0
TKT-100140,Low,2,0.52,0.7,0.8,0.63,3,0
TKT-100141,Medium,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100142,Medium,2,0.2,0.5,0.5,0.35,2,0
TKT-100143,Low,2,0.54,0.85,0.8,0.685,3,0
TKT-100144,Medium,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100145,Medium,2,0.52,0.25,0.6499999999999999,0.46499999999999997,2,0
TKT-100146,Low,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100147,High,2,0.73,0.85,0.35000000000000003,0.69,3,0
TKT-100148,Medium,2,0.73,0.5,0.35000000000000003,0.585,3,0
TKT-100149,Medium,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100150,Low,2,0.54,0.25,0.6499999999999999,0.475,2,0
TKT-100151,Critical,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100152,High,2,0.73,0.25,0.6499999999999999,0.57,3,0
TKT-100153,Medium,2,0.2,0.95,0.8,0.545,2,0
TKT-100154,Medium,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100155,Medium,2,0.52,0.7,0.6499999999999999,0.6,3,0
TKT-100156,Medium,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100157,Medium,2,0.52,0.5,0.6499999999999999,0.54,2,0
TKT-100158,Low,2,0.2,0.7,0.8,0.47000000000000003,2,0
TKT-100159,Low,2,0.73,0.5,0.35000000000000003,0.585,3,0
TKT-100160,Low,2,0.2,0.7,0.6499999999999999,0.43999999999999995,2,0
TKT-100161,Low,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100162,High,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100163,High,2,0.2,0.7,0.35000000000000003,0.38,2,0
TKT-100164,Low,2,0.52,0.7,0.8,0.63,3,0
TKT-100165,Low,2,0.92,0.7,0.6499999999999999,0.8,4,1
TKT-100166,Medium,2,0.52,0.7,0.6499999999999999,0.6,3,0
TKT-100167,Low,2,0.52,0.25,0.6499999999999999,0.46499999999999997,2,0
TKT-100168,Medium,2,0.52,0.25,0.35000000000000003,0.405,2,0
TKT-100169,Medium,2,0.76,0.85,0.6499999999999999,0.765,4,1
TKT-100170,Low,2,0.73,0.85,0.5,0.72,3,0
TKT-100171,Medium,2,0.73,0.85,0.35000000000000003,0.69,3,0
TKT-100172,Medium,2,0.2,0.25,0.8,0.335,2,0
TKT-100173,Low,2,0.52,0.7,0.8,0.63,3,0
TKT-100174,Low,2,0.73,0.7,0.2,0.615,3,0
TKT-100175,Medium,2,0.73,0.25,0.5,0.54,2,0
TKT-100176,Medium,2,0.2,0.25,0.2,0.215,1,0
TKT-100177,Medium,2,0.2,0.7,0.2,0.35,2,0
TKT-100178,Critical,2,0.2,0.25,0.2,0.215,1,0
TKT-100179,Medium,2,0.52,0.7,0.2,0.51,2,0
TKT-100180,High,2,0.73,0.25,0.6499999999999999,0.57,3,0
TKT-100181,Low,2,0.52,0.7,0.35000000000000003,0.54,2,0
TKT-100182,Medium,2,0.73,0.85,0.35000000000000003,0.69,3,0
TKT-100183,Medium,2,0.73,0.5,0.2,0.555,3,0
TKT-100184,Low,2,0.2,0.95,0.5,0.485,2,0
TKT-100185,Medium,2,0.2,0.5,0.5,0.35,2,0
TKT-100186,Low,2,0.2,0.85,0.2,0.395,2,0
TKT-100187,Low,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100188,Critical,2,0.2,0.25,0.2,0.215,1,0
TKT-100189,Low,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100190,High,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100191,High,2,0.76,0.5,0.8,0.6900000000000001,3,0
TKT-100192,High,2,0.73,0.25,0.2,0.48,2,0
TKT-100193,Medium,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100194,Low,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100195,High,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100196,Medium,2,0.92,0.7,0.35000000000000003,0.74,3,0
TKT-100197,Low,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100198,Critical,2,0.73,0.7,0.2,0.615,3,0
TKT-100199,Medium,2,0.52,0.25,0.2,0.375,2,0
TKT-100200,Low,2,0.2,0.7,0.35000000000000003,0.38,2,0
TKT-100201,High,2,0.73,0.25,0.5,0.54,2,0
TKT-100202,Low,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100203,High,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100204,Medium,2,0.54,0.5,0.8,0.5800000000000001,3,0
TKT-100205,High,2,0.73,0.5,0.35000000000000003,0.585,3,0
TKT-100206,Medium,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100207,Medium,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100208,Low,2,0.2,0.7,0.5,0.41000000000000003,2,0
TKT-100209,Medium,2,0.54,0.85,0.8,0.685,3,0
TKT-100210,Low,2,0.54,0.7,0.2,0.52,2,0
TKT-100211,Critical,2,0.2,0.5,0.5,0.35,2,0
TKT-100212,Medium,2,0.52,0.25,0.6499999999999999,0.46499999999999997,2,0
TKT-100213,Medium,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100214,Low,2,0.52,0.5,0.35000000000000003,0.48000000000000004,2,0
TKT-100215,Low,2,0.54,0.5,0.35000000000000003,0.49000000000000005,2,0
TKT-100216,High,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100217,Critical,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100218,Low,2,0.52,0.7,0.5,0.57,3,0
TKT-100219,High,2,0.2,0.25,0.5,0.275,1,0
TKT-100220,Medium,2,0.2,0.7,0.8,0.47000000000000003,2,0
TKT-100221,High,2,0.73,0.25,0.5,0.54,2,0
TKT-100222,High,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100223,Critical,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100224,Medium,2,0.52,0.7,0.2,0.51,2,0
TKT-100225,High,2,0.73,0.5,0.2,0.555,3,0
TKT-100226,Medium,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100227,Low,2,0.2,0.85,0.8,0.515,2,0
TKT-100228,Medium,2,0.73,0.7,0.2,0.615,3,0
TKT-100229,Medium,2,0.2,0.85,0.2,0.395,2,0
TKT-100230,Medium,2,0.52,0.7,0.2,0.51,2,0
TKT-100231,Low,2,0.73,0.5,0.6499999999999999,0.645,3,0
TKT-100232,Medium,2,0.2,0.95,0.35000000000000003,0.455,2,0
TKT-100233,Medium,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100234,Medium,2,0.73,0.5,0.6499999999999999,0.645,3,0
TKT-100235,Low,2,0.52,0.5,0.2,0.45000000000000007,2,0
TKT-100236,Medium,2,0.2,0.85,0.6499999999999999,0.485,2,0
TKT-100237,Medium,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100238,Medium,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100239,Low,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100240,Medium,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100241,Low,2,0.2,0.25,0.5,0.275,1,0
TKT-100242,Low,2,0.52,0.5,0.5,0.51,2,0
TKT-100243,Medium,2,0.73,0.7,0.35000000000000003,0.645,3,0
TKT-100244,Low,2,0.76,0.5,0.2,0.5700000000000001,3,0
TKT-100245,Medium,2,0.2,0.7,0.5,0.41000000000000003,2,0
TKT-100246,Medium,2,0.2,0.85,0.8,0.515,2,0
TKT-100247,Critical,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100248,Low,2,0.52,0.25,0.2,0.375,2,0
TKT-100249,Medium,2,0.2,0.85,0.6499999999999999,0.485,2,0
TKT-100250,Low,2,0.2,0.85,0.8,0.515,2,0
TKT-100251,Medium,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100252,Critical,2,0.73,0.5,0.5,0.615,3,0
TKT-100253,Medium,2,0.2,0.95,0.2,0.42500000000000004,2,0
TKT-100254,Medium,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100255,Medium,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100256,Low,2,0.52,0.7,0.6499999999999999,0.6,3,0
TKT-100257,Low,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100258,Medium,2,0.52,0.85,0.6499999999999999,0.645,3,0
TKT-100259,High,2,0.73,0.5,0.8,0.675,3,0
TKT-100260,High,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100261,Medium,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100262,Low,2,0.73,0.25,0.5,0.54,2,0
TKT-100263,Low,2,0.73,0.7,0.2,0.615,3,0
TKT-100264,Low,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100265,High,2,0.2,0.25,0.5,0.275,1,0
TKT-100266,Low,2,0.52,0.25,0.6499999999999999,0.46499999999999997,2,0
TKT-100267,Low,2,0.73,0.7,0.2,0.615,3,0
TKT-100268,Medium,2,0.2,0.7,0.35000000000000003,0.38,2,0
TKT-100269,High,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100270,Medium,2,0.2,0.85,0.5,0.45499999999999996,2,0
TKT-100271,Low,2,0.2,0.85,0.6499999999999999,0.485,2,0
TKT-100272,High,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100273,Low,2,0.52,0.7,0.5,0.57,3,0
TKT-100274,Medium,2,0.2,0.85,0.2,0.395,2,0
TKT-100275,Medium,2,0.54,0.95,0.2,0.595,3,0
TKT-100276,Low,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100277,Medium,2,0.52,0.95,0.35000000000000003,0.615,3,0
TKT-100278,Medium,2,0.73,0.5,0.8,0.675,3,0
TKT-100279,Low,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100280,Critical,2,0.73,0.25,0.2,0.48,2,0
TKT-100281,Low,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100282,High,2,0.52,0.25,0.2,0.375,2,0
TKT-100283,Medium,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100284,Medium,2,0.73,0.25,0.5,0.54,2,0
TKT-100285,Medium,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100286,Medium,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100287,Low,2,0.52,0.95,0.35000000000000003,0.615,3,0
TKT-100288,Low,2,0.52,0.85,0.8,0.675,3,0
TKT-100289,Medium,2,0.2,0.7,0.8,0.47000000000000003,2,0
TKT-100290,Low,2,0.56,0.5,0.35000000000000003,0.5,2,0
TKT-100291,Low,2,0.2,0.7,0.5,0.41000000000000003,2,0
TKT-100292,Low,2,0.73,0.7,0.35000000000000003,0.645,3,0
TKT-100293,Medium,2,0.2,0.5,0.5,0.35,2,0
TKT-100294,Low,2,0.73,0.5,0.5,0.615,3,0
TKT-100295,Critical,2,0.2,0.7,0.2,0.35,2,0
TKT-100296,Critical,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100297,Low,2,0.2,0.25,0.5,0.275,1,0
TKT-100298,Critical,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100299,Low,2,0.54,0.85,0.6499999999999999,0.655,3,0
TKT-100300,High,2,0.2,0.25,0.5,0.275,1,0
TKT-100301,Critical,2,0.92,0.5,0.35000000000000003,0.6799999999999999,3,0
TKT-100302,Medium,2,0.73,0.7,0.8,0.735,3,0
TKT-100303,Low,2,0.2,0.25,0.5,0.275,1,0
TKT-100304,Low,2,0.52,0.85,0.6499999999999999,0.645,3,0
TKT-100305,High,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100306,Low,2,0.2,0.25,0.8,0.335,2,0
TKT-100307,Low,2,0.2,0.5,0.5,0.35,2,0
TKT-100308,Medium,2,0.73,0.95,0.6499999999999999,0.7799999999999999,4,1
TKT-100309,Low,2,0.73,0.85,0.2,0.66,3,0
TKT-100310,Medium,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100311,Critical,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100312,Medium,2,0.2,0.95,0.35000000000000003,0.455,2,0
TKT-100313,High,2,0.73,0.5,0.6499999999999999,0.645,3,0
TKT-100314,Critical,2,0.2,0.25,0.6499999999999999,0.30499999999999994,2,0
TKT-100315,Low,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100316,Low,2,0.2,0.25,0.8,0.335,2,0
TKT-100317,Medium,2,0.56,0.85,0.8,0.6950000000000001,3,0
TKT-100318,Low,2,0.2,0.95,0.5,0.485,2,0
TKT-100319,Medium,2,0.73,0.7,0.35000000000000003,0.645,3,0
TKT-100320,Medium,2,0.52,0.5,0.6499999999999999,0.54,2,0
TKT-100321,Low,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100322,High,2,0.2,0.25,0.8,0.335,2,0
TKT-100323,Low,2,0.52,0.25,0.5,0.43500000000000005,2,0
TKT-100324,High,2,0.2,0.25,0.8,0.335,2,0
TKT-100325,Medium,2,0.2,0.5,0.6499999999999999,0.38,2,0
TKT-100326,Medium,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100327,Low,2,0.2,0.95,0.2,0.42500000000000004,2,0
TKT-100328,High,2,0.2,0.5,0.5,0.35,2,0
TKT-100329,Low,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100330,Low,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100331,Low,2,0.52,0.95,0.8,0.705,3,0
TKT-100332,Low,2,0.54,0.5,0.5,0.52,2,0
TKT-100333,Medium,2,0.52,0.25,0.6499999999999999,0.46499999999999997,2,0
TKT-100334,Medium,2,0.52,0.7,0.2,0.51,2,0
TKT-100335,High,2,0.73,0.7,0.2,0.615,3,0
TKT-100336,Medium,2,0.73,0.7,0.2,0.615,3,0
TKT-100337,Low,2,0.73,0.7,0.35000000000000003,0.645,3,0
TKT-100338,Low,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100339,Medium,2,0.92,0.25,0.2,0.5750000000000001,3,0
TKT-100340,Low,2,0.54,0.85,0.8,0.685,3,0
TKT-100341,High,2,0.52,0.5,0.5,0.51,2,0
TKT-100342,Low,2,0.52,0.25,0.8,0.49500000000000005,2,0
TKT-100343,Critical,2,0.2,0.25,0.8,0.335,2,0
TKT-100344,High,2,0.73,0.7,0.2,0.615,3,0
TKT-100345,Low,2,0.76,0.5,0.35000000000000003,0.6000000000000001,3,0
TKT-100346,High,2,0.2,0.25,0.8,0.335,2,0
TKT-100347,Critical,2,0.2,0.25,0.8,0.335,2,0
TKT-100348,Medium,2,0.92,0.7,0.5,0.77,4,1
TKT-100349,Low,2,0.2,0.7,0.35000000000000003,0.38,2,0
TKT-100350,Medium,2,0.54,0.5,0.5,0.52,2,0
TKT-100351,High,2,0.52,0.25,0.2,0.375,2,0
TKT-100352,Low,2,0.52,0.7,0.8,0.63,3,0
TKT-100353,Low,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100354,High,2,0.52,0.5,0.2,0.45000000000000007,2,0
TKT-100355,Medium,2,0.54,0.85,0.8,0.685,3,0
TKT-100356,High,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100357,Medium,2,0.92,0.5,0.35000000000000003,0.6799999999999999,3,0
TKT-100358,Medium,2,0.2,0.25,0.5,0.275,1,0
TKT-100359,Low,2,0.52,0.85,0.2,0.555,3,0
TKT-100360,Low,2,0.73,0.25,0.2,0.48,2,0
TKT-100361,Low,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100362,High,2,0.73,0.5,0.2,0.555,3,0
TKT-100363,Low,2,0.2,0.7,0.5,0.41000000000000003,2,0
TKT-100364,High,2,0.52,0.7,0.5,0.57,3,0
TKT-100365,Low,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100366,Medium,2,0.2,0.7,0.5,0.41000000000000003,2,0
TKT-100367,High,2,0.92,0.5,0.5,0.71,3,0
TKT-100368,Medium,2,0.52,0.7,0.35000000000000003,0.54,2,0
TKT-100369,Low,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100370,Medium,2,0.73,0.7,0.35000000000000003,0.645,3,0
TKT-100371,Medium,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100372,Medium,2,0.73,0.5,0.2,0.555,3,0
TKT-100373,Low,2,0.2,0.85,0.5,0.45499999999999996,2,0
TKT-100374,Critical,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100375,Low,2,0.52,0.5,0.6499999999999999,0.54,2,0
TKT-100376,High,2,0.2,0.25,0.35000000000000003,0.245,1,0
TKT-100377,Medium,2,0.2,0.95,0.8,0.545,2,0
TKT-100378,Low,2,0.52,0.25,0.2,0.375,2,0
TKT-100379,Medium,2,0.76,0.7,0.5,0.69,3,0
TKT-100380,High,2,0.2,0.7,0.8,0.47000000000000003,2,0
TKT-100381,Medium,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100382,Low,2,0.73,0.85,0.35000000000000003,0.69,3,0
TKT-100383,Medium,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100384,High,2,0.73,0.7,0.5,0.6749999999999999,3,0
TKT-100385,High,2,0.73,0.5,0.8,0.675,3,0
TKT-100386,Medium,2,0.2,0.5,0.35000000000000003,0.32,2,0
